date,store_id,cat_id,units,avg_price,snap,is_event,wday,month,year,units_lag1,units_lag7,units_lag14,units_lag28,units_lag365
2011-03-06,CA_1,FOODS,3464,3.1110225,1,0,2,3,2011,3223.0,2733.0,2864.0,3418.0,
2011-03-07,CA_1,FOODS,2262,3.1110225,1,0,3,3,2011,3464.0,1732.0,2105.0,2446.0,
2011-03-08,CA_1,FOODS,2165,3.1110225,1,0,4,3,2011,2262.0,1896.0,1621.0,2138.0,
2011-03-09,CA_1,FOODS,2100,3.1110225,1,1,5,3,2011,2165.0,1965.0,1608.0,2001.0,
2011-03-10,CA_1,FOODS,2003,3.1110225,1,0,6,3,2011,2100.0,1984.0,1639.0,2137.0,
2011-03-11,CA_1,FOODS,2480,3.1110225,0,0,7,3,2011,2003.0,2369.0,1875.0,2217.0,
2011-03-12,CA_1,FOODS,2895,3.117528,0,0,1,3,2011,2480.0,3223.0,2574.0,3067.0,
2011-03-13,CA_1,FOODS,3081,3.117528,0,0,2,3,2011,2895.0,3464.0,2733.0,3313.0,
2011-03-14,CA_1,FOODS,2079,3.117528,0,0,3,3,2011,3081.0,2262.0,1732.0,2003.0,
2011-03-15,CA_1,FOODS,1656,3.117528,0,0,4,3,2011,2079.0,2165.0,1896.0,1779.0,
2011-03-16,CA_1,FOODS,1805,3.117528,0,1,5,3,2011,1656.0,2100.0,1965.0,1670.0,
2011-03-17,CA_1,FOODS,1657,3.117528,0,1,6,3,2011,1805.0,2003.0,1984.0,1433.0,
2011-03-18,CA_1,FOODS,2005,3.117528,0,0,7,3,2011,1657.0,2480.0,2369.0,2250.0,
2011-03-19,CA_1,FOODS,2826,3.1268907,0,0,1,3,2011,2005.0,2895.0,3223.0,3148.0,
2011-03-20,CA_1,FOODS,2795,3.1268907,0,1,2,3,2011,2826.0,3081.0,3464.0,2864.0,
2011-03-21,CA_1,FOODS,1935,3.1268907,0,0,3,3,2011,2795.0,2079.0,2262.0,2105.0,
2011-03-22,CA_1,FOODS,1595,3.1268907,0,0,4,3,2011,1935.0,1656.0,2165.0,1621.0,
2011-03-23,CA_1,FOODS,1473,3.1268907,0,0,5,3,2011,1595.0,1805.0,2100.0,1608.0,
2011-03-24,CA_1,FOODS,1431,3.1268907,0,0,6,3,2011,1473.0,1657.0,2003.0,1639.0,
2011-03-25,CA_1,FOODS,1869,3.1268907,0,0,7,3,2011,1431.0,2005.0,2480.0,1875.0,
2011-03-26,CA_1,FOODS,2648,3.1227386,0,0,1,3,2011,1869.0,2826.0,2895.0,2574.0,
2011-03-27,CA_1,FOODS,2801,3.1227386,0,0,2,3,2011,2648.0,2795.0,3081.0,2733.0,
2011-03-28,CA_1,FOODS,1903,3.1227386,0,0,3,3,2011,2801.0,1935.0,2079.0,1732.0,
2011-03-29,CA_1,FOODS,1471,3.1227386,0,0,4,3,2011,1903.0,1595.0,1656.0,1896.0,
2011-03-30,CA_1,FOODS,1612,3.1227386,0,0,5,3,2011,1471.0,1473.0,1805.0,1965.0,
2011-03-31,CA_1,FOODS,1849,3.1227386,0,0,6,3,2011,1612.0,1431.0,1657.0,1984.0,
2011-04-01,CA_1,FOODS,2528,3.1227386,1,0,7,4,2011,1849.0,1869.0,2005.0,2369.0,
2011-04-02,CA_1,FOODS,3013,3.1356416,1,0,1,4,2011,2528.0,2648.0,2826.0,3223.0,
2011-04-03,CA_1,FOODS,3136,3.1356416,1,0,2,4,2011,3013.0,2801.0,2795.0,3464.0,
2011-04-04,CA_1,FOODS,2615,3.1356416,1,0,3,4,2011,3136.0,1903.0,1935.0,2262.0,
2011-04-05,CA_1,FOODS,2047,3.1356416,1,0,4,4,2011,2615.0,1471.0,1595.0,2165.0,
2011-04-06,CA_1,FOODS,1897,3.1356416,1,0,5,4,2011,2047.0,1612.0,1473.0,2100.0,
2011-04-07,CA_1,FOODS,2150,3.1356416,1,0,6,4,2011,1897.0,1849.0,1431.0,2003.0,
2011-04-08,CA_1,FOODS,2342,3.1356416,1,0,7,4,2011,2150.0,2528.0,1869.0,2480.0,
2011-04-09,CA_1,FOODS,2825,3.1388683,1,0,1,4,2011,2342.0,3013.0,2648.0,2895.0,
2011-04-10,CA_1,FOODS,2978,3.1388683,1,0,2,4,2011,2825.0,3136.0,2801.0,3081.0,
2011-04-11,CA_1,FOODS,2007,3.1388683,0,0,3,4,2011,2978.0,2615.0,1903.0,2079.0,
2011-04-12,CA_1,FOODS,1653,3.1388683,0,0,4,4,2011,2007.0,2047.0,1471.0,1656.0,
2011-04-13,CA_1,FOODS,1550,3.1388683,0,0,5,4,2011,1653.0,1897.0,1612.0,1805.0,
2011-04-14,CA_1,FOODS,1631,3.1388683,0,0,6,4,2011,1550.0,2150.0,1849.0,1657.0,
2011-04-15,CA_1,FOODS,2141,3.1388683,0,0,7,4,2011,1631.0,2342.0,2528.0,2005.0,
2011-04-16,CA_1,FOODS,2465,3.1346762,0,0,1,4,2011,2141.0,2825.0,3013.0,2826.0,
2011-04-17,CA_1,FOODS,2980,3.1346762,0,0,2,4,2011,2465.0,2978.0,3136.0,2795.0,
2011-04-18,CA_1,FOODS,1833,3.1346762,0,0,3,4,2011,2980.0,2007.0,2615.0,1935.0,
2011-04-19,CA_1,FOODS,1628,3.1346762,0,0,4,4,2011,1833.0,1653.0,2047.0,1595.0,
2011-04-20,CA_1,FOODS,1520,3.1346762,0,0,5,4,2011,1628.0,1550.0,1897.0,1473.0,
2011-04-21,CA_1,FOODS,1759,3.1346762,0,0,6,4,2011,1520.0,1631.0,2150.0,1431.0,
2011-04-22,CA_1,FOODS,2274,3.1346762,0,0,7,4,2011,1759.0,2141.0,2342.0,1869.0,
2011-04-23,CA_1,FOODS,2909,3.133712,0,0,1,4,2011,2274.0,2465.0,2825.0,2648.0,
2011-04-24,CA_1,FOODS,2051,3.133712,0,1,2,4,2011,2909.0,2980.0,2978.0,2801.0,
2011-04-25,CA_1,FOODS,1518,3.133712,0,0,3,4,2011,2051.0,1833.0,2007.0,1903.0,
2011-04-26,CA_1,FOODS,1411,3.133712,0,1,4,4,2011,1518.0,1628.0,1653.0,1471.0,
2011-04-27,CA_1,FOODS,1294,3.133712,0,0,5,4,2011,1411.0,1520.0,1550.0,1612.0,
2011-04-28,CA_1,FOODS,1374,3.133712,0,0,6,4,2011,1294.0,1759.0,1631.0,1849.0,
2011-04-29,CA_1,FOODS,1808,3.133712,0,0,7,4,2011,1374.0,2274.0,2141.0,2528.0,
2011-04-30,CA_1,FOODS,2278,3.1343977,0,0,1,4,2011,1808.0,2909.0,2465.0,3013.0,
2011-05-01,CA_1,FOODS,2550,3.1343977,1,0,2,5,2011,2278.0,2051.0,2980.0,3136.0,
2011-05-02,CA_1,FOODS,1962,3.1343977,1,0,3,5,2011,2550.0,1518.0,1833.0,2615.0,
2011-05-03,CA_1,FOODS,2044,3.1343977,1,0,4,5,2011,1962.0,1411.0,1628.0,2047.0,
2011-05-04,CA_1,FOODS,1924,3.1343977,1,0,5,5,2011,2044.0,1294.0,1520.0,1897.0,
2011-05-05,CA_1,FOODS,1648,3.1343977,1,1,6,5,2011,1924.0,1374.0,1759.0,2150.0,
2011-05-06,CA_1,FOODS,2322,3.1343977,1,0,7,5,2011,1648.0,1808.0,2274.0,2342.0,
2011-05-07,CA_1,FOODS,2605,3.1219141,1,0,1,5,2011,2322.0,2278.0,2909.0,2825.0,
2011-05-08,CA_1,FOODS,2096,3.1219141,1,1,2,5,2011,2605.0,2550.0,2051.0,2978.0,
2011-05-09,CA_1,FOODS,2199,3.1219141,1,0,3,5,2011,2096.0,1962.0,1518.0,2007.0,
2011-05-10,CA_1,FOODS,2044,3.1219141,1,0,4,5,2011,2199.0,2044.0,1411.0,1653.0,
2011-05-11,CA_1,FOODS,1797,3.1219141,0,0,5,5,2011,2044.0,1924.0,1294.0,1550.0,
2011-05-12,CA_1,FOODS,1630,3.1219141,0,0,6,5,2011,1797.0,1648.0,1374.0,1631.0,
2011-05-13,CA_1,FOODS,2078,3.1219141,0,0,7,5,2011,1630.0,2322.0,1808.0,2141.0,
2011-05-14,CA_1,FOODS,2608,3.1086884,0,0,1,5,2011,2078.0,2605.0,2278.0,2465.0,
2011-05-15,CA_1,FOODS,2704,3.1086884,0,0,2,5,2011,2608.0,2096.0,2550.0,2980.0,
2011-05-16,CA_1,FOODS,1651,3.1086884,0,0,3,5,2011,2704.0,2199.0,1962.0,1833.0,
2011-05-17,CA_1,FOODS,1550,3.1086884,0,0,4,5,2011,1651.0,2044.0,2044.0,1628.0,
2011-05-18,CA_1,FOODS,1535,3.1086884,0,0,5,5,2011,1550.0,1797.0,1924.0,1520.0,
2011-05-19,CA_1,FOODS,1516,3.1086884,0,0,6,5,2011,1535.0,1630.0,1648.0,1759.0,
2011-05-20,CA_1,FOODS,1847,3.1086884,0,0,7,5,2011,1516.0,2078.0,2322.0,2274.0,
2011-05-21,CA_1,FOODS,2332,3.1168911,0,0,1,5,2011,1847.0,2608.0,2605.0,2909.0,
2011-05-22,CA_1,FOODS,2525,3.1168911,0,0,2,5,2011,2332.0,2704.0,2096.0,2051.0,
2011-05-23,CA_1,FOODS,1648,3.1168911,0,0,3,5,2011,2525.0,1651.0,2199.0,1518.0,
2011-05-24,CA_1,FOODS,1556,3.1168911,0,0,4,5,2011,1648.0,1550.0,2044.0,1411.0,
2011-05-25,CA_1,FOODS,1512,3.1168911,0,0,5,5,2011,1556.0,1535.0,1797.0,1294.0,
2011-05-26,CA_1,FOODS,1487,3.1168911,0,0,6,5,2011,1512.0,1516.0,1630.0,1374.0,
2011-05-27,CA_1,FOODS,1786,3.1168911,0,0,7,5,2011,1487.0,1847.0,2078.0,1808.0,
2011-05-28,CA_1,FOODS,2140,3.14742,0,0,1,5,2011,1786.0,2332.0,2608.0,2278.0,
2011-05-29,CA_1,FOODS,2270,3.14742,0,0,2,5,2011,2140.0,2525.0,2704.0,2550.0,
2011-05-30,CA_1,FOODS,2013,3.14742,0,1,3,5,2011,2270.0,1648.0,1651.0,1962.0,
2011-05-31,CA_1,FOODS,1505,3.14742,0,1,4,5,2011,2013.0,1556.0,1550.0,2044.0,
2011-06-01,CA_1,FOODS,1701,3.14742,1,0,5,6,2011,1505.0,1512.0,1535.0,1924.0,
2011-06-02,CA_1,FOODS,1748,3.14742,1,0,6,6,2011,1701.0,1487.0,1516.0,1648.0,
2011-06-03,CA_1,FOODS,2265,3.14742,1,0,7,6,2011,1748.0,1786.0,1847.0,2322.0,
2011-06-04,CA_1,FOODS,2842,3.1541996,1,0,1,6,2011,2265.0,2140.0,2332.0,2605.0,
2011-06-05,CA_1,FOODS,2832,3.1541996,1,0,2,6,2011,2842.0,2270.0,2525.0,2096.0,
2011-06-06,CA_1,FOODS,2187,3.1541996,1,0,3,6,2011,2832.0,2013.0,1648.0,2199.0,
2011-06-07,CA_1,FOODS,1963,3.1541996,1,0,4,6,2011,2187.0,1505.0,1556.0,2044.0,
2011-06-08,CA_1,FOODS,1809,3.1541996,1,0,5,6,2011,1963.0,1701.0,1512.0,1797.0,
2011-06-09,CA_1,FOODS,2039,3.1541996,1,0,6,6,2011,1809.0,1748.0,1487.0,1630.0,
2011-06-10,CA_1,FOODS,2447,3.1541996,1,0,7,6,2011,2039.0,2265.0,1786.0,2078.0,
2011-06-11,CA_1,FOODS,2435,3.1651154,0,0,1,6,2011,2447.0,2842.0,2140.0,2608.0,
2011-06-12,CA_1,FOODS,2586,3.1651154,0,1,2,6,2011,2435.0,2832.0,2270.0,2704.0,
2011-06-13,CA_1,FOODS,2215,3.1651154,0,0,3,6,2011,2586.0,2187.0,2013.0,1651.0,
2011-06-14,CA_1,FOODS,2035,3.1651154,0,0,4,6,2011,2215.0,1963.0,1505.0,1550.0,
2011-06-15,CA_1,FOODS,1973,3.1651154,0,0,5,6,2011,2035.0,1809.0,1701.0,1535.0,
2011-06-16,CA_1,FOODS,1743,3.1651154,0,0,6,6,2011,1973.0,2039.0,1748.0,1516.0,
2011-06-17,CA_1,FOODS,1996,3.1651154,0,0,7,6,2011,1743.0,2447.0,2265.0,1847.0,
2011-06-18,CA_1,FOODS,2539,3.1657546,0,0,1,6,2011,1996.0,2435.0,2842.0,2332.0,
2011-06-19,CA_1,FOODS,2200,3.1657546,0,1,2,6,2011,2539.0,2586.0,2832.0,2525.0,
2011-06-20,CA_1,FOODS,2062,3.1657546,0,0,3,6,2011,2200.0,2215.0,2187.0,1648.0,
2011-06-21,CA_1,FOODS,2144,3.1657546,0,0,4,6,2011,2062.0,2035.0,1963.0,1556.0,
2011-06-22,CA_1,FOODS,1735,3.1657546,0,0,5,6,2011,2144.0,1973.0,1809.0,1512.0,
2011-06-23,CA_1,FOODS,1806,3.1657546,0,0,6,6,2011,1735.0,1743.0,2039.0,1487.0,
2011-06-24,CA_1,FOODS,2092,3.1657546,0,0,7,6,2011,1806.0,1996.0,2447.0,1786.0,
2011-06-25,CA_1,FOODS,2299,3.1662068,0,0,1,6,2011,2092.0,2539.0,2435.0,2140.0,
2011-06-26,CA_1,FOODS,2491,3.1662068,0,0,2,6,2011,2299.0,2200.0,2586.0,2270.0,
2011-06-27,CA_1,FOODS,1927,3.1662068,0,0,3,6,2011,2491.0,2062.0,2215.0,2013.0,
2011-06-28,CA_1,FOODS,1473,3.1662068,0,0,4,6,2011,1927.0,2144.0,2035.0,1505.0,
2011-06-29,CA_1,FOODS,1497,3.1662068,0,0,5,6,2011,1473.0,1735.0,1973.0,1701.0,
2011-06-30,CA_1,FOODS,1752,3.1662068,0,0,6,6,2011,1497.0,1806.0,1743.0,1748.0,
2011-07-01,CA_1,FOODS,2663,3.1662068,1,0,7,7,2011,1752.0,2092.0,1996.0,2265.0,
2011-07-02,CA_1,FOODS,3108,3.1656997,1,0,1,7,2011,2663.0,2299.0,2539.0,2842.0,
2011-07-03,CA_1,FOODS,2942,3.1656997,1,0,2,7,2011,3108.0,2491.0,2200.0,2832.0,
2011-07-04,CA_1,FOODS,2038,3.1656997,1,1,3,7,2011,2942.0,1927.0,2062.0,2187.0,
2011-07-05,CA_1,FOODS,2364,3.1656997,1,0,4,7,2011,2038.0,1473.0,2144.0,1963.0,
2011-07-06,CA_1,FOODS,2441,3.1656997,1,0,5,7,2011,2364.0,1497.0,1735.0,1809.0,
2011-07-07,CA_1,FOODS,2403,3.1656997,1,0,6,7,2011,2441.0,1752.0,1806.0,2039.0,
2011-07-08,CA_1,FOODS,2385,3.1656997,1,0,7,7,2011,2403.0,2663.0,2092.0,2447.0,
2011-07-09,CA_1,FOODS,2762,3.165954,1,0,1,7,2011,2385.0,3108.0,2299.0,2435.0,
2011-07-10,CA_1,FOODS,3066,3.165954,1,0,2,7,2011,2762.0,2942.0,2491.0,2586.0,
2011-07-11,CA_1,FOODS,2026,3.165954,0,0,3,7,2011,3066.0,2038.0,1927.0,2215.0,
2011-07-12,CA_1,FOODS,1602,3.165954,0,0,4,7,2011,2026.0,2364.0,1473.0,2035.0,
2011-07-13,CA_1,FOODS,1768,3.165954,0,0,5,7,2011,1602.0,2441.0,1497.0,1973.0,
2011-07-14,CA_1,FOODS,1639,3.165954,0,0,6,7,2011,1768.0,2403.0,1752.0,1743.0,
2011-07-15,CA_1,FOODS,1973,3.165954,0,0,7,7,2011,1639.0,2385.0,2663.0,1996.0,
2011-07-16,CA_1,FOODS,2541,3.1825666,0,0,1,7,2011,1973.0,2762.0,3108.0,2539.0,
2011-07-17,CA_1,FOODS,2445,3.1825666,0,0,2,7,2011,2541.0,3066.0,2942.0,2200.0,
2011-07-18,CA_1,FOODS,2015,3.1825666,0,0,3,7,2011,2445.0,2026.0,2038.0,2062.0,
2011-07-19,CA_1,FOODS,1665,3.1825666,0,0,4,7,2011,2015.0,1602.0,2364.0,2144.0,
2011-07-20,CA_1,FOODS,1727,3.1825666,0,0,5,7,2011,1665.0,1768.0,2441.0,1735.0,
2011-07-21,CA_1,FOODS,1818,3.1825666,0,0,6,7,2011,1727.0,1639.0,2403.0,1806.0,
2011-07-22,CA_1,FOODS,2199,3.1825666,0,0,7,7,2011,1818.0,1973.0,2385.0,2092.0,
2011-07-23,CA_1,FOODS,2526,3.1952345,0,0,1,7,2011,2199.0,2541.0,2762.0,2299.0,
2011-07-24,CA_1,FOODS,2526,3.1952345,0,0,2,7,2011,2526.0,2445.0,3066.0,2491.0,
2011-07-25,CA_1,FOODS,1867,3.1952345,0,0,3,7,2011,2526.0,2015.0,2026.0,1927.0,
2011-07-26,CA_1,FOODS,1641,3.1952345,0,0,4,7,2011,1867.0,1665.0,1602.0,1473.0,
2011-07-27,CA_1,FOODS,1543,3.1952345,0,0,5,7,2011,1641.0,1727.0,1768.0,1497.0,
2011-07-28,CA_1,FOODS,1665,3.1952345,0,0,6,7,2011,1543.0,1818.0,1639.0,1752.0,
2011-07-29,CA_1,FOODS,2156,3.1952345,0,0,7,7,2011,1665.0,2199.0,1973.0,2663.0,
2011-07-30,CA_1,FOODS,2002,3.2292252,0,0,1,7,2011,2156.0,2526.0,2541.0,3108.0,
2011-07-31,CA_1,FOODS,2353,3.2292252,0,0,2,7,2011,2002.0,2526.0,2445.0,2942.0,
2011-08-01,CA_1,FOODS,1963,3.2292252,1,1,3,8,2011,2353.0,1867.0,2015.0,2038.0,
2011-08-02,CA_1,FOODS,2070,3.2292252,1,0,4,8,2011,1963.0,1641.0,1665.0,2364.0,
2011-08-03,CA_1,FOODS,1991,3.2292252,1,0,5,8,2011,2070.0,1543.0,1727.0,2441.0,
2011-08-04,CA_1,FOODS,2162,3.2292252,1,0,6,8,2011,1991.0,1665.0,1818.0,2403.0,
2011-08-05,CA_1,FOODS,2370,3.2292252,1,0,7,8,2011,2162.0,2156.0,2199.0,2385.0,
2011-08-06,CA_1,FOODS,2580,3.218915,1,0,1,8,2011,2370.0,2002.0,2526.0,2762.0,
2011-08-07,CA_1,FOODS,2800,3.218915,1,0,2,8,2011,2580.0,2353.0,2526.0,3066.0,
2011-08-08,CA_1,FOODS,2394,3.218915,1,0,3,8,2011,2800.0,1963.0,1867.0,2026.0,
2011-08-09,CA_1,FOODS,2006,3.218915,1,0,4,8,2011,2394.0,2070.0,1641.0,1602.0,
2011-08-10,CA_1,FOODS,1994,3.218915,1,0,5,8,2011,2006.0,1991.0,1543.0,1768.0,
2011-08-11,CA_1,FOODS,1861,3.218915,0,0,6,8,2011,1994.0,2162.0,1665.0,1639.0,
2011-08-12,CA_1,FOODS,2288,3.218915,0,0,7,8,2011,1861.0,2370.0,2156.0,1973.0,
2011-08-13,CA_1,FOODS,2742,3.204749,0,0,1,8,2011,2288.0,2580.0,2002.0,2541.0,
2011-08-14,CA_1,FOODS,2957,3.204749,0,0,2,8,2011,2742.0,2800.0,2353.0,2445.0,
2011-08-15,CA_1,FOODS,1938,3.204749,0,0,3,8,2011,2957.0,2394.0,1963.0,2015.0,
2011-08-16,CA_1,FOODS,1884,3.204749,0,0,4,8,2011,1938.0,2006.0,2070.0,1665.0,
2011-08-17,CA_1,FOODS,1833,3.204749,0,0,5,8,2011,1884.0,1994.0,1991.0,1727.0,
2011-08-18,CA_1,FOODS,1851,3.204749,0,0,6,8,2011,1833.0,1861.0,2162.0,1818.0,
2011-08-19,CA_1,FOODS,2079,3.204749,0,0,7,8,2011,1851.0,2288.0,2370.0,2199.0,
2011-08-20,CA_1,FOODS,2440,3.2088428,0,0,1,8,2011,2079.0,2742.0,2580.0,2526.0,
2011-08-21,CA_1,FOODS,3177,3.2088428,0,0,2,8,2011,2440.0,2957.0,2800.0,2526.0,
2011-08-22,CA_1,FOODS,1867,3.2088428,0,0,3,8,2011,3177.0,1938.0,2394.0,1867.0,
2011-08-23,CA_1,FOODS,1537,3.2088428,0,0,4,8,2011,1867.0,1884.0,2006.0,1641.0,
2011-08-24,CA_1,FOODS,1662,3.2088428,0,0,5,8,2011,1537.0,1833.0,1994.0,1543.0,
2011-08-25,CA_1,FOODS,1700,3.2088428,0,0,6,8,2011,1662.0,1851.0,1861.0,1665.0,
2011-08-26,CA_1,FOODS,1921,3.2088428,0,0,7,8,2011,1700.0,2079.0,2288.0,2156.0,
2011-08-27,CA_1,FOODS,2582,3.2104263,0,0,1,8,2011,1921.0,2440.0,2742.0,2002.0,
2011-08-28,CA_1,FOODS,2670,3.2104263,0,0,2,8,2011,2582.0,3177.0,2957.0,2353.0,
2011-08-29,CA_1,FOODS,1708,3.2104263,0,0,3,8,2011,2670.0,1867.0,1938.0,1963.0,
2011-08-30,CA_1,FOODS,1375,3.2104263,0,0,4,8,2011,1708.0,1537.0,1884.0,2070.0,
2011-08-31,CA_1,FOODS,1470,3.2104263,0,1,5,8,2011,1375.0,1662.0,1833.0,1991.0,
2011-09-01,CA_1,FOODS,1846,3.2104263,1,0,6,9,2011,1470.0,1700.0,1851.0,2162.0,
2011-09-02,CA_1,FOODS,2362,3.2104263,1,0,7,9,2011,1846.0,1921.0,2079.0,2370.0,
2011-09-03,CA_1,FOODS,2717,3.2185662,1,0,1,9,2011,2362.0,2582.0,2440.0,2580.0,
2011-09-04,CA_1,FOODS,2568,3.2185662,1,0,2,9,2011,2717.0,2670.0,3177.0,2800.0,
2011-09-05,CA_1,FOODS,2469,3.2185662,1,1,3,9,2011,2568.0,1708.0,1867.0,2394.0,
2011-09-06,CA_1,FOODS,2115,3.2185662,1,0,4,9,2011,2469.0,1375.0,1537.0,2006.0,
2011-09-07,CA_1,FOODS,1900,3.2185662,1,0,5,9,2011,2115.0,1470.0,1662.0,1994.0,
2011-09-08,CA_1,FOODS,1979,3.2185662,1,0,6,9,2011,1900.0,1846.0,1700.0,1861.0,
2011-09-09,CA_1,FOODS,2297,3.2185662,1,0,7,9,2011,1979.0,2362.0,1921.0,2288.0,
2011-09-10,CA_1,FOODS,2718,3.2229264,1,0,1,9,2011,2297.0,2717.0,2582.0,2742.0,
2011-09-11,CA_1,FOODS,2876,3.2229264,0,0,2,9,2011,2718.0,2568.0,2670.0,2957.0,
2011-09-12,CA_1,FOODS,1933,3.2229264,0,0,3,9,2011,2876.0,2469.0,1708.0,1938.0,
2011-09-13,CA_1,FOODS,1575,3.2229264,0,0,4,9,2011,1933.0,2115.0,1375.0,1884.0,
2011-09-14,CA_1,FOODS,1482,3.2229264,0,0,5,9,2011,1575.0,1900.0,1470.0,1833.0,
2011-09-15,CA_1,FOODS,1628,3.2229264,0,0,6,9,2011,1482.0,1979.0,1846.0,1851.0,
2011-09-16,CA_1,FOODS,1975,3.2229264,0,0,7,9,2011,1628.0,2297.0,2362.0,2079.0,
2011-09-17,CA_1,FOODS,2454,3.2290723,0,0,1,9,2011,1975.0,2718.0,2717.0,2440.0,
2011-09-18,CA_1,FOODS,2670,3.2290723,0,0,2,9,2011,2454.0,2876.0,2568.0,3177.0,
2011-09-19,CA_1,FOODS,1789,3.2290723,0,0,3,9,2011,2670.0,1933.0,2469.0,1867.0,
2011-09-20,CA_1,FOODS,1740,3.2290723,0,0,4,9,2011,1789.0,1575.0,2115.0,1537.0,
2011-09-21,CA_1,FOODS,1646,3.2290723,0,0,5,9,2011,1740.0,1482.0,1900.0,1662.0,
2011-09-22,CA_1,FOODS,1606,3.2290723,0,0,6,9,2011,1646.0,1628.0,1979.0,1700.0,
2011-09-23,CA_1,FOODS,2451,3.2290723,0,0,7,9,2011,1606.0,1975.0,2297.0,1921.0,
2011-09-24,CA_1,FOODS,2872,3.2335012,0,0,1,9,2011,2451.0,2454.0,2718.0,2582.0,
2011-09-25,CA_1,FOODS,2872,3.2335012,0,0,2,9,2011,2872.0,2670.0,2876.0,2670.0,
2011-09-26,CA_1,FOODS,2028,3.2335012,0,0,3,9,2011,2872.0,1789.0,1933.0,1708.0,
2011-09-27,CA_1,FOODS,1722,3.2335012,0,0,4,9,2011,2028.0,1740.0,1575.0,1375.0,
2011-09-28,CA_1,FOODS,1696,3.2335012,0,0,5,9,2011,1722.0,1646.0,1482.0,1470.0,
